Produto/Tipo,Unidade,Preço Unitário R$,Quantidade Entregue,Data da Doação
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,252,19/08/2025
CHUCHU(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,4.32,30,19/08/2025
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,65,19/08/2025
COUVE-FLOR(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,11.59,112,19/08/2025
INHAME(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.66,180,19/08/2025
NABO/CONVENCIONAL,Kg,4.1,360,19/08/2025
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.14,210,19/08/2025
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,7.98,60,19/08/2025
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,49.21,10,19/08/2025
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,37.85,5,19/08/2025
BANANA DA TERRA(CONVENCIONAL),Kg,16.22,544,08/10/2025
ABOBORA(CONVENCIONAL),Kg,19.07,1067,08/10/2025
CEBOLA(CONVENCIONAL),Kg,5.88,132,12/08/2025
BANANA D'ÁGUA(CONVENCIONAL),Kg,13.8,834,19/08/2025
SALSA(CONVENCIONAL),Kg,8.28,1286,19/08/2025
REPOLHO(CONVENCIONAL),Kg,15.73,363,08/10/2025
PIMENTÃO(CONVENCIONAL),Kg,10.51,947,08/10/2025
SALSA(CONVENCIONAL),Kg,15.68,887,12/08/2025
REPOLHO(CONVENCIONAL),Kg,17.49,863,08/10/2025
REPOLHO(ORGÂNICO),Kg,11.81,1274,19/08/2025
PIMENTÃO(CONVENCIONAL),Kg,9.59,713,19/08/2025
SALSA(ORGÂNICO),Kg,14.8,248,19/08/2025
BATATA YACON(CONVENCIONAL),Kg,12.56,663,19/08/2025
JILÓ(CONVENCIONAL),Kg,17.01,1275,08/10/2025
BANANA PRATA(CONVENCIONAL),Kg,3.79,1052,08/10/2025
BANANA PRATA(CONVENCIONAL),Kg,5.19,265,12/08/2025
ABACAXI(CONVENCIONAL),Kg,10.02,338,08/10/2025
CENOURA(CONVENCIONAL),Kg,5.22,1210,19/08/2025
COUVE-FLOR(CONVENCIONAL),Kg,16.64,192,12/08/2025
BRÓCOLIS(ORGÂNICO),Kg,5.14,1160,08/10/2025
BANANA D'ÁGUA(CONVENCIONAL),Kg,12.29,565,08/10/2025
CEBOLINHA(CONVENCIONAL),Kg,9.02,1287,08/10/2025
BATATA INGLESA(CONVENCIONAL),Kg,3.62,254,12/08/2025
SALSA(CONVENCIONAL),Kg,13.12,1295,19/08/2025
COUVE(CONVENCIONAL),Kg,16.39,527,12/08/2025
BANANA PRATA(CONVENCIONAL),Kg,9.04,111,12/08/2025
RABANETE(CONVENCIONAL),Kg,13.98,794,08/10/2025
BERINJELA(CONVENCIONAL),Kg,6.16,738,12/08/2025
CENOURA(CONVENCIONAL),Kg,5.75,1180,12/08/2025
BATATA DOCE(CONVENCIONAL),Kg,7.76,677,19/08/2025
BANANA D'ÁGUA(CONVENCIONAL),Kg,12.05,440,19/08/2025
ALFACE AMERICANA(CONVENCIONAL),Kg,9.08,346,12/08/2025
CEBOLA(CONVENCIONAL),Kg,7.92,754,08/10/2025
BATATA DOCE(CONVENCIONAL),Kg,4.74,828,08/10/2025
BRÓCOLIS(ORGÂNICO),Kg,8.39,1207,19/08/2025
ABOBRINHA(CONVENCIONAL),Kg,7.24,39,08/10/2025
SALSA(CONVENCIONAL),Kg,6.51,530,19/08/2025
BANANA D'ÁGUA(CONVENCIONAL),Kg,17.37,1163,19/08/2025
BRÓCOLIS(ORGÂNICO),Kg,16.78,938,12/08/2025
CEBOLINHA(CONVENCIONAL),Kg,6.56,863,12/08/2025
REPOLHO(CONVENCIONAL),Kg,8.07,103,12/08/2025
BRÓCOLIS(ORGÂNICO),Kg,16.61,316,19/08/2025
REPOLHO(CONVENCIONAL),Kg,5.63,1006,08/10/2025
BERINJELA(CONVENCIONAL),Kg,8.42,190,12/08/2025
INHAME(CONVENCIONAL),Kg,8.75,732,08/10/2025
JILÓ(CONVENCIONAL),Kg,12.37,169,08/10/2025
BETERRABA(CONVENCIONAL),Kg,16.08,28,19/08/2025
REPOLHO(ORGÂNICO),Kg,13.35,435,08/10/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,19.51,149,12/08/2025
LARANJA SELETA(CONVENCIONAL),Kg,16.67,1265,19/08/2025
REPOLHO(CONVENCIONAL),Kg,5.12,133,12/08/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,6.18,1223,19/08/2025
GOIABA(CONVENCIONAL),Kg,7.13,236,19/08/2025
PEPINO(CONVENCIONAL),Kg,4.3,374,08/10/2025
BERINJELA(CONVENCIONAL),Kg,6.17,309,08/10/2025
REPOLHO(ORGÂNICO),Kg,17.87,1164,19/08/2025
BATATA INGLESA(CONVENCIONAL),Kg,12.19,1202,08/10/2025
ABOBORA(CONVENCIONAL),Kg,6.6,598,12/08/2025
SALSA(ORGÂNICO),Kg,18.32,916,12/08/2025
LARANJA SELETA(CONVENCIONAL),Kg,12.89,1005,12/08/2025
BRÓCOLIS(CONVENCIONAL),Kg,15.75,424,19/08/2025
MARACUJÁ(CONVENCIONAL),Kg,17.71,851,19/08/2025
LARANJA SELETA(CONVENCIONAL),Kg,17.98,221,12/08/2025
PEPINO(CONVENCIONAL),Kg,15.97,1119,19/08/2025
BANANA D'ÁGUA(CONVENCIONAL),Kg,15.15,456,12/08/2025
JILÓ(CONVENCIONAL),Kg,6.36,899,08/10/2025
QUIABO(CONVENCIONAL),Kg,19.43,410,08/10/2025
COUVE(CONVENCIONAL),Kg,4.16,1037,12/08/2025
SALSA(ORGÂNICO),Kg,10.33,192,19/08/2025
TOMATE(CONVENCIONAL),Kg,9.56,571,08/10/2025
BATATA YACON(CONVENCIONAL),Kg,18.49,831,19/08/2025
MARACUJÁ(CONVENCIONAL),Kg,5.48,41,08/10/2025
ALFACE AMERICANA(CONVENCIONAL),Kg,19.61,1143,08/10/2025
CHUCHU(CONVENCIONAL),Kg,7.35,579,19/08/2025
SALSA(CONVENCIONAL),Kg,19.83,818,19/08/2025
MANGA PALMER(CONVENCIONAL),Kg,18.55,708,08/10/2025
BATATA INGLESA(CONVENCIONAL),Kg,11.57,749,12/08/2025
BANANA PRATA(CONVENCIONAL),Kg,7.76,121,08/10/2025
REPOLHO(CONVENCIONAL),Kg,18.16,1289,12/08/2025
REPOLHO(CONVENCIONAL),Kg,9.92,432,08/10/2025
REPOLHO(CONVENCIONAL),Kg,10.29,118,08/10/2025
ALFACE AMERICANA(CONVENCIONAL),Kg,17.12,565,08/10/2025
REPOLHO(ORGÂNICO),Kg,3.18,1194,19/08/2025
PIMENTÃO(CONVENCIONAL),Kg,17.98,66,19/08/2025
LARANJA SELETA(CONVENCIONAL),Kg,6.95,413,12/08/2025
ALFACE CRESPA(CONVENCIONAL),Kg,3.78,924,19/08/2025
ALFACE CRESPA(CONVENCIONAL),Kg,15.09,107,08/10/2025
QUIABO(CONVENCIONAL),Kg,18.53,328,12/08/2025
GOIABA(CONVENCIONAL),Kg,19.79,425,12/08/2025
GOIABA(CONVENCIONAL),Kg,10.01,496,19/08/2025
QUIABO(CONVENCIONAL),Kg,17.71,163,08/10/2025
BATATA YACON(CONVENCIONAL),Kg,19.58,342,19/08/2025
SALSA(CONVENCIONAL),Kg,5.69,876,12/08/2025
ABACAXI(CONVENCIONAL),Kg,8.94,1232,19/08/2025
BETERRABA(CONVENCIONAL),Kg,15.55,135,08/10/2025
INHAME(CONVENCIONAL),Kg,9.71,242,08/10/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,18.56,640,19/08/2025
BRÓCOLIS(CONVENCIONAL),Kg,15.39,548,12/08/2025
COUVE(CONVENCIONAL),Kg,12.88,741,19/08/2025
BRÓCOLIS(CONVENCIONAL),Kg,11.07,998,12/08/2025
COUVE(CONVENCIONAL),Kg,15.01,1158,19/08/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,9.87,238,08/10/2025
MANGA PALMER(CONVENCIONAL),Kg,10.86,216,08/10/2025
RABANETE(CONVENCIONAL),Kg,15.69,171,08/10/2025
MARACUJÁ(CONVENCIONAL),Kg,10.16,325,08/10/2025
BRÓCOLIS(ORGÂNICO),Kg,7.88,486,19/08/2025
ALFACE AMERICANA(CONVENCIONAL),Kg,10.1,1028,19/08/2025
CEBOLA(CONVENCIONAL),Kg,15.37,409,19/08/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,9.55,359,08/10/2025
AIPIM(CONVENCIONAL),Kg,11.77,807,19/08/2025
CEBOLINHA(CONVENCIONAL),Kg,11.92,1145,12/08/2025
MARACUJÁ(CONVENCIONAL),Kg,14.75,516,08/10/2025
LARANJA SELETA(CONVENCIONAL),Kg,6.92,204,19/08/2025
JILÓ(CONVENCIONAL),Kg,18.09,508,08/10/2025
CHUCHU(CONVENCIONAL),Kg,9.31,260,08/10/2025
ALFACE AMERICANA(CONVENCIONAL),Kg,18.71,773,08/10/2025
SALSA(CONVENCIONAL),Kg,13.07,606,19/08/2025
AIPIM(CONVENCIONAL),Kg,9.46,1192,19/08/2025
TOMATE(CONVENCIONAL),Kg,11.14,307,08/10/2025
CEBOLA(CONVENCIONAL),Kg,15.43,709,12/08/2025
REPOLHO(ORGÂNICO),Kg,8.7,1231,19/08/2025
ALFACE CRESPA(CONVENCIONAL),Kg,15.32,461,08/10/2025
NABO(CONVENCIONAL),Kg,19.39,630,19/08/2025
BATATA INGLESA(CONVENCIONAL),Kg,14.65,305,19/08/2025
MANGA PALMER(CONVENCIONAL),Kg,15.54,263,12/08/2025
TOMATE(CONVENCIONAL),Kg,10.13,983,19/08/2025
ABOBRINHA(CONVENCIONAL),Kg,19.11,1257,08/10/2025
ABACAXI(CONVENCIONAL),Kg,17.35,572,08/10/2025
CEBOLA(CONVENCIONAL),Kg,15.8,400,19/08/2025
TOMATE(CONVENCIONAL),Kg,14.54,256,08/10/2025
MAMÃO FORMOSA(CONVENCIONAL),Kg,10.95,282,08/10/2025
MARACUJÁ(CONVENCIONAL),Kg,16.16,1274,12/08/2025
